Line Name,End 1 Bus Name,End 2 Bus Name,In Service,Resistance (pu),Reactance (pu),Susceptance (pu),Actual Capacity (MW),Maximum Angle Limit (degree),B,Nature of Line,,,,Thermal Limit (MVA),Angle Limit,Anlge Limiting,Thermal Limit,,,,,,,,
L42,N_4373,N_4372,1,0.011211562,0.089692498,0.336346866,900,35,-11.14920453,AC,,3,3,900,583.7709842,Swap,583.7709842,0,,,,,,,
L43,N_4373,N_4372,1,0.011211562,0.089692498,0.336346866,900,35,-11.14920453,AC,,3,3,900,583.7709842,Swap,583.7709842,0,,,,,,,
L44,N_4373,N_4374,1,0.011628869,0.093030951,0.348866065,900,35,-10.74911082,AC,,3,3,900,562.8221265,Swap,562.8221265,0,,,,,,,
L45,N_4373,N_4374,1,0.011628869,0.093030951,0.348866065,900,35,-10.74911082,AC,,3,3,900,562.8221265,Swap,562.8221265,0,,,,,,,
L46,N_4373,N_4374,1,0.011628869,0.093030951,0.348866065,900,35,-10.74911082,AC,,3,3,900,562.8221265,Swap,562.8221265,0,,,,,,,
L47,N_4374,N_4375,1,0.012118598,0.096948782,0.363557933,900,35,-10.31472473,AC,,3,3,900,540.0777237,Swap,540.0777237,0,,,,,,,
L48,N_4374,N_4375,1,0.012118598,0.096948782,0.363557933,900,35,-10.31472473,AC,,3,3,900,540.0777237,Swap,540.0777237,0,,,,,,,
L49,N_4374,N_4375,1,0.012118598,0.096948782,0.363557933,900,35,-10.31472473,AC,,3,3,900,540.0777237,Swap,540.0777237,0,,,,,,,
L50,N_4375,N_4376,1,0.016811724,0.134493788,0.504351706,900,35,-7.435287631,AC,,3,3,900,389.31075,Swap,389.31075,0,,,,,,,
L51,N_4375,N_4376,1,0.016811724,0.134493788,0.504351706,900,35,-7.435287631,AC,,3,3,900,389.31075,Swap,389.31075,0,,,,,,,
L52,N_4376,N_4377,1,0.007167943,0.057343548,0.215038304,900,35,-17.43875364,AC,,3,3,900,913.0910056, ,900,1,,,,,,,
L53,N_4376,N_4377,1,0.007167943,0.057343548,0.215038304,900,35,-17.43875364,AC,,3,3,900,913.0910056, ,900,1,,,,,,,
L54,N_4353,N_4352,1,0.001153252,0.00922602,0.034597574,900,35,-108.3891031,AC,,3,3,900,5675.240166, ,900,1,,,,,,,
L55,N_4352,N_4339,1,0.009796404,0.061577396,0.391856155,900,35,-16.23972544,AC,,3,3,900,850.3100358,Swap,850.3100358,0,,,,,,,
L56,N_4352,N_4339,1,0.009796404,0.061577396,0.391856155,900,35,-16.23972544,AC,,3,3,900,850.3100358,Swap,850.3100358,0,,,,,,,
L57,N_4352,N_4351,1,0.001126334,0.009010674,0.033790027,900,35,-110.9794895,AC,,3,3,900,5810.87248, ,900,1,,,,,,,
L58,N_4339,N_4351,1,0.009565384,0.060125273,0.382615372,900,35,-16.63194119,AC,,3,3,900,870.8464042,Swap,870.8464042,0,,,,,,,
L59,N_4339,N_4337,1,0.010368069,0.065170721,0.41472277,900,35,-15.34431389,AC,,3,3,900,803.4263965,Swap,803.4263965,0,,,,,,,
L60,N_4339,N_4337,1,0.010368069,0.065170721,0.41472277,900,35,-15.34431389,AC,,3,3,900,803.4263965,Swap,803.4263965,0,,,,,,,
L61,N_4337,N_4336,1,0.006453445,0.040564513,0.258137808,900,35,-24.65208959,AC,,3,3,900,1290.780393, ,900,1,,,,,,,
L62,N_4372,N_4371,1,0.007650096,0.061200771,0.22950289,900,35,-16.33966355,AC,,3,3,900,855.542783,Swap,855.542783,0,,,,,,,
L63,N_4372,N_4371,1,0.007650096,0.061200771,0.22950289,900,35,-16.33966355,AC,,3,3,900,855.542783,Swap,855.542783,0,,,,,,,
L64,N_4330,N_4306,1,0.001008796,0.010952637,0.08070364,900,35,-91.30221439,AC,,3,3,900,4780.572767, ,900,1,,,,,,,
L65,N_4370,N_4355,1,0.003175461,0.025403691,0.095263842,900,35,-39.36435833,AC,,3,3,900,2061.112982, ,900,1,,,,,,,
L66,N_4355,N_4353,1,0.001842647,0.014741177,0.055279413,900,35,-67.83718917,AC,,3,3,900,3551.946919, ,900,1,,,,,,,
L67,N_4339,N_4338,1,0.006229149,0.042829081,0.276633091,900,35,-23.34862162,AC,,3,3,900,1222.530969, ,900,1,,,,,,,
L68,N_4338,N_4337,1,0.003081048,0.021184023,0.136827634,900,35,-47.20538654,AC,,3,3,900,2471.66826, ,900,1,,,,,,,
L69,N_4350,N_4334,1,0.010765385,0.11688132,0.861230782,900,35,-8.555687057,AC,,3,3,900,447.9747267,Swap,447.9747267,0,,,,,,,
L70,N_4350,N_4334,1,0.010765385,0.11688132,0.861230782,900,35,-8.555687057,AC,,3,3,900,447.9747267,Swap,447.9747267,0,,,,,,,
L71,N_4333,N_4334,1,0.000719838,0.007815388,0.05758707,900,35,-127.9526985,AC,,3,3,900,6699.587629, ,900,1,,,,,,,
L72,N_4333,N_4334,1,0.000719838,0.007815388,0.05758707,900,35,-127.9526985,AC,,3,3,900,6699.587629, ,900,1,,,,,,,
L73,N_4333,N_4334,1,0.000719838,0.007815388,0.05758707,900,35,-127.9526985,AC,,3,3,900,6699.587629, ,900,1,,,,,,,
L74,N_4333,N_4334,1,0.000719838,0.007815388,0.05758707,900,35,-127.9526985,AC,,3,3,900,6699.587629, ,900,1,,,,,,,
L75,N_4334,N_4335,1,0.003646714,0.039592895,0.29173712,900,35,-25.25705698,AC,,3,3,900,1322.456411, ,900,1,,,,,,,
L76,N_4334,N_4335,1,0.003646714,0.039592895,0.29173712,900,35,-25.25705698,AC,,3,3,900,1322.456411, ,900,1,,,,,,,
L77,N_4335,N_4332,1,0.000975063,0.010586403,0.078005073,900,35,-94.46079299,AC,,3,3,900,4945.955555, ,900,1,,,,,,,
L78,N_4335,N_4332,1,0.000975063,0.010586403,0.078005073,900,35,-94.46079299,AC,,3,3,900,4945.955555, ,900,1,,,,,,,
L79,N_4334,N_4332,1,0.00328548,0.035670928,0.262838413,900,35,-28.03403413,AC,,3,3,900,1467.858595, ,900,1,,,,,,,
