Line Name,End 1 Node Name,End 2 Node Name,R,X,b,Maximum Capacity (MW),B,Nature of Line,,,,
L63,N_4372,N_4371,0.007650096,0.061200771,0.22950289,900,-16.33966355,AC,,3,3,800
L64,N_4330,N_4306,0.001008796,0.010952637,0.08070364,900,-91.30221439,AC,,3,3,800
L65,N_4370,N_4355,0.003175461,0.025403691,0.095263842,900,-39.36435833,AC,,3,3,800
L66,N_4355,N_4353,0.001842647,0.014741177,0.055279413,900,-67.83718917,AC,,3,3,800
L67,N_4339,N_4338,0.006229149,0.042829081,0.276633091,900,-23.34862162,AC,,3,3,800
L68,N_4338,N_4337,0.003081048,0.021184023,0.136827634,900,-47.20538654,AC,,3,3,800
L69,N_4350,N_4334,0.010765385,0.11688132,0.861230782,900,-8.555687057,AC,,3,3,800
L70,N_4350,N_4334,0.010765385,0.11688132,0.861230782,900,-8.555687057,AC,,3,3,800
L71,N_4333,N_4334,0.000719838,0.007815388,0.05758707,900,-127.9526985,AC,,3,3,800
L72,N_4333,N_4334,0.000719838,0.007815388,0.05758707,900,-127.9526985,AC,,3,3,800
L73,N_4333,N_4334,0.000719838,0.007815388,0.05758707,900,-127.9526985,AC,,3,3,800
L74,N_4333,N_4334,0.000719838,0.007815388,0.05758707,900,-127.9526985,AC,,3,3,800
L75,N_4334,N_4335,0.003646714,0.039592895,0.29173712,900,-25.25705698,AC,,3,3,800
L76,N_4334,N_4335,0.003646714,0.039592895,0.29173712,900,-25.25705698,AC,,3,3,800
L77,N_4335,N_4332,0.000975063,0.010586403,0.078005073,900,-94.46079299,AC,,3,3,800
L78,N_4335,N_4332,0.000975063,0.010586403,0.078005073,900,-94.46079299,AC,,3,3,800
L79,N_4334,N_4332,0.00328548,0.035670928,0.262838413,900,-28.03403413,AC,,3,3,800
L80,N_4334,N_4332,0.00328548,0.035670928,0.262838413,900,-28.03403413,AC,,3,3,800
L81,N_4307,N_4305,2.20959E-05,0.000239898,0.001767672,900,-4168.433434,AC,,3,3,800
L82,N_4306,N_4307,0.00037053,0.0040229,0.029642421,900,-248.5768974,AC,,3,3,800
L83,N_4302,N_4307,0.00059785,0.006490938,0.047827966,900,-154.0609324,AC,,3,3,800
L84,N_4302,N_4307,0.00059785,0.006490938,0.047827966,900,-154.0609324,AC,,3,3,800
L85,N_4308,N_4307,0.000494533,0.005369219,0.039562664,900,-186.2468363,AC,,3,3,800
L86,N_4308,N_4310,0.000469061,0.005092664,0.037524894,900,-196.3608734,AC,,3,3,800
L87,N_4232,N_4332,0,0.017241379,0,1000,-58,AC,,2,3,1000
L88,N_4232,N_4332,0,0.017241379,0,1000,-58,AC,,2,3,1000
L89,N_4211,N_4311,0,0.017241379,0,1000,-58,AC,,2,3,1000
L90,N_4211,N_4311,0,0.017241379,0,1000,-58,AC,,2,3,1000
