Utylity Storage Name,Node Location,Connected to Grid,Maximum Storage Capacity (MWh),Minimum Storage Capacity (MWh),Maximum Charge Rate (MW/h),Maximum Discharge Rate (MW/h),Plot Color
Uty_1,0,0,0,0,0,0,Sienna
Uty_2,0,0,0,0,0,0,Peru
Uty_3,0,0,0,0,0,0,DarkSlateGray
Uty_4,0,0,0,0,0,0,MidnightBlue
Uty_5,0,0,0,0,0,0,Black
Uty_6,0,0,0,0,0,0,LightGrey
,,,,END OF DATA,,,
