Bus Name,Bus Region,Bus Type,Demand Trace Weightage (%),Power Factor,Prosumer Demand (%),Rooftop PV Capacity (MW),Feedin Price Ratio,Maximum Battery Capacity (MWh),Minimum Battery Capacity (MWh),Maximum Charge Rate (MW/h),Maximum Discharge Rate (MW/h),Battery Efficiency (%),Base_kV,Node Zone,Demand Trace Weightage,Demand Trace Name,Wind Trace Name,PV Trace Name,CST Trace Name,Rooftop PV Trace
N_5918,SA,0,0,0.9,0,0,0,0,0,0,0,0,20,NSA,#REF!,SA,NSA,NSA,NSA,NSA
N_5901,SA,0,0,0.9,0,0,0,0,0,0,0,0,20,SESA,#REF!,SA,SESA,SESA,SESA,SESA
N_5902,SA,0,0,0.9,0,0,0,0,0,0,0,0,20,SESA,#REF!,SA,SESA,SESA,SESA,SESA
N_5970,SA,0,0,0.9,0,0,0,0,0,0,0,0,20,SESA,#REF!,SA,SESA,SESA,SESA,SESA
N_5912,SA,0,0,0.9,0,0,0,0,0,0,0,0,20,ADE,#REF!,SA,ADE,ADE,ADE,ADE
N_5913,SA,0,0,0.9,0,0,0,0,0,0,0,0,20,ADE,#REF!,SA,ADE,ADE,ADE,ADE
N_5951,SA,0,0,0.9,0,0,0,0,0,0,0,0,20,NSA,#REF!,SA,NSA,NSA,NSA,NSA
N_5952,SA,0,0,0.9,0,0,0,0,0,0,0,0,20,NSA,#REF!,SA,NSA,NSA,NSA,NSA
N_5953,SA,0,0,0.9,0,0,0,0,0,0,0,0,20,NSA,#REF!,SA,NSA,NSA,NSA,NSA
,,,,,,,,END OF DATA,,,,,,,,,,,,
