Bus Name,Bus Region,Bus Type,Demand Trace Weightage (%),Power Factor,Prosumer Demand (%),Rooftop PV Capacity (MW),Feedin Price Ratio,Maximum Battery Capacity (MWh),Minimum Battery Capacity (MWh),Maximum Charge Rate (MW/h),Maximum Discharge Rate (MW/h),Battery Efficiency (%),Base_kV,Node Zone,Demand Trace Weightage,Demand Trace Name,Wind Trace Name,PV Trace Name,CST Trace Name,Rooftop PV Trace
N_3117,VIC,0,0,0.9,0,0,0,0,0,0,0,0,500,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
N_3417,VIC,0,11.86391104,0.9,0,0,0,0,0,0,0,0,220,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
N_3201,VIC,0,0,0.9,0,0,0,0,0,0,0,0,330,NVIC,#REF!,VIC,NVIC,NVIC,NVIC,NVIC
N_3401,VIC,0,0,0.9,0,0,0,0,0,0,0,0,220,NVIC,#REF!,VIC,NVIC,NVIC,NVIC,NVIC
N_3421,VIC,0,0,0.9,0,0,0,0,0,0,0,0,220,NVIC,#REF!,VIC,NVIC,NVIC,NVIC,NVIC
N_3468,VIC,0,0,0.9,0,0,0,0,0,0,0,0,220,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
N_3470,VIC,0,0,0.9,0,0,0,0,0,0,0,0,220,CVIC,#REF!,VIC,CVIC,CVIC,CVIC,CVIC
N_3420,VIC,0,6.313636304,0.9,0,0,0,0,0,0,0,0,220,CVIC,#REF!,VIC,CVIC,CVIC,CVIC,CVIC
N_3404,VIC,0,1.35178611,0.9,0,0,0,0,0,0,0,0,220,NVIC,#REF!,VIC,NVIC,NVIC,NVIC,NVIC
N_3118,VIC,0,0,0.9,0,0,0,0,0,0,0,0,500,LV,#REF!,VIC,LV,LV,LV,LV
N_3418,VIC,0,0,0.9,0,0,0,0,0,0,0,0,220,LV,#REF!,VIC,LV,LV,LV,LV
N_3114,VIC,0,9.949145773,0.9,0,0,0,0,0,0,0,0,500,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
N_3314,VIC,0,0,0.9,0,0,0,0,0,0,0,0,275,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
N_3410,VIC,0,1.103693601,0.9,0,0,0,0,0,0,0,0,220,CVIC,#REF!,VIC,CVIC,CVIC,CVIC,CVIC
N_3115,VIC,0,0,0.9,0,0,0,0,0,0,0,0,500,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
N_3415,VIC,0,13.12981897,0.9,0,0,0,0,0,0,0,0,220,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
N_3407,VIC,0,1.001912058,0.9,0,0,0,0,0,0,0,0,220,CVIC,#REF!,VIC,CVIC,CVIC,CVIC,CVIC
N_3119,VIC,0,0,0.9,0,0,0,0,0,0,0,0,500,LV,#REF!,VIC,LV,LV,LV,LV
N_3112,VIC,0,0,0.9,0,0,0,0,0,0,0,0,500,CVIC,#REF!,VIC,CVIC,CVIC,CVIC,CVIC
N_3412,VIC,0,0,0.9,0,0,0,0,0,0,0,0,220,CVIC,#REF!,VIC,CVIC,CVIC,CVIC,CVIC
N_3422,VIC,0,0,0.9,0,0,0,0,0,0,0,0,220,NVIC,#REF!,VIC,NVIC,NVIC,NVIC,NVIC
N_3130,VIC,0,3.676470588,0.9,0,0,0,0,0,0,0,0,500,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
N_3409,VIC,0,2.576345293,0.9,0,0,0,0,0,0,0,0,220,CVIC,#REF!,VIC,CVIC,CVIC,CVIC,CVIC
N_3426,VIC,0,7.633615683,0.9,0,0,0,0,0,0,0,0,220,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
N_3427,VIC,0,7.315548363,0.9,0,0,0,0,0,0,0,0,220,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
N_3116,VIC,0,0,0.9,0,0,0,0,0,0,0,0,500,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
N_3416,VIC,0,4.771009802,0.9,0,0,0,0,0,0,0,0,220,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
N_3405,VIC,0,4.198488626,0.9,0,0,0,0,0,0,0,0,220,NVIC,#REF!,VIC,NVIC,NVIC,NVIC,NVIC
N_3102,VIC,0,0,0.9,0,0,0,0,0,0,0,0,500,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
N_3202,VIC,0,0,0.9,0,0,0,0,0,0,0,0,330,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
N_3402,VIC,0,2.798992417,0.9,0,0,0,0,0,0,0,0,220,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
N_3113,VIC,0,0,0.9,0,0,0,0,0,0,0,0,500,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
N_3425,VIC,0,3.816807841,0.9,0,0,0,0,0,0,0,0,220,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
N_3423,VIC,0,2.162857777,0.9,0,0,0,0,0,0,0,0,220,CVIC,#REF!,VIC,CVIC,CVIC,CVIC,CVIC
N_3424,VIC,0,4.802816534,0.9,0,0,0,0,0,0,0,0,220,MEL,#REF!,VIC,MEL,MEL,MEL,MEL
N_3471,VIC,0,0,0.9,0,0,0,0,0,0,0,0,220,CVIC,#REF!,VIC,CVIC,CVIC,CVIC,CVIC
N_3408,VIC,0,0.47710098,0.9,0,0,0,0,0,0,0,0,220,CVIC,#REF!,VIC,CVIC,CVIC,CVIC,CVIC
N_3203,VIC,0,1.081428888,0.9,0,0,0,0,0,0,0,0,330,NVIC,#REF!,VIC,NVIC,NVIC,NVIC,NVIC
N_3429,VIC,0,0,0.9,0,0,0,0,0,0,0,0,220,LV,#REF!,VIC,LV,LV,LV,LV
N_3906,VIC,0,0.090196078,0.9,0,0,0,0,0,0,0,0,20,CVIC,#REF!,VIC,CVIC,CVIC,CVIC,CVIC
